team,season,pressure_rate_forced,hurry_rate_forced,hit_rate_forced
NYG,2018,0.24016750309118454,0.1110978925863983,0.08005583436372818
NYG,2019,0.2370127107878502,0.09029055649060959,0.08867822512470586
NYG,2020,0.24777227547386646,0.08311348481085394,0.10193163231519822
NYG,2021,0.19395166906910072,0.08030811297392453,0.06212514399869633
NYG,2022,0.23789039918089708,0.0669511901886357,0.1111104858449699
NYG,2023,0.21153523930337506,0.08813968304307294,0.06890920674276613
NYG,2024,0.22117784152871894,0.0669109436557469,0.0743454929508299
NYG,2025,0.22752643890054994,0.07530804667835103,0.0897287364678225
NYJ,2018,0.2410959200404043,0.09643836801616172,0.08399470762697957
NYJ,2019,0.21793797882036306,0.08250509198199459,0.0809483921332777
NYJ,2020,0.22935078306472112,0.09607938209468048,0.08523170992270042
NYJ,2021,0.21009396450219942,0.0799611357433744,0.07839327033664158
NYJ,2022,0.24595862405087998,0.05270541943947428,0.12138217810303167
NYJ,2023,0.2606404617712136,0.09369428364324672,0.08517662149386065
NYJ,2024,0.22396285368180924,0.08251263030382446,0.0707251116889924
NYJ,2025,0.1515011481992796,0.04803694942903987,0.05542724934119985
OAK,2018,0.17466147051306824,0.09812442163655519,0.05102469925100869
OAK,2019,0.2053897610671259,0.10524103459637857,0.045830773130680985
PHI,2018,0.24554428532320485,0.09463685996831854,0.08952135402408509
PHI,2019,0.24535857025627603,0.08228488636643404,0.09874186363972084
PHI,2020,0.2696921506328081,0.07873000670647193,0.108881924168525
PHI,2021,0.21360412197186762,0.0921716416727922,0.07461513849702225
PHI,2022,0.25940982487719483,0.06963105825651018,0.0860148366698067
PHI,2023,0.21398550323851112,0.08250043498352236,0.07218788061058207
PHI,2024,0.18941162038428533,0.05358355050344914,0.06479871223672919
PHI,2025,0.2032473903277053,0.05118823163808875,0.0873211010296808
PIT,2018,0.27221463321640954,0.10665719547075694,0.08277871887282628
PIT,2019,0.2997169521134255,0.11409679427045176,0.09366154753544548
PIT,2020,0.3313561620701468,0.11722505733613685,0.12660306192302778
PIT,2021,0.24931659006109078,0.09200969395111683,0.07123331144602593
PIT,2022,0.17290393919846628,0.04241040018075588,0.0652467695088552
PIT,2023,0.2190634066822006,0.0623822946181101,0.08559431122019757
PIT,2024,0.22433233669061714,0.05971436300397722,0.09844800387142191
PIT,2025,0.21679666180983834,0.06766265241198775,0.0787096160710878
SEA,2018,0.2771459981244236,0.11521799922026599,0.09341999936778322
SEA,2019,0.19601710896825805,0.08480172799335987,0.05977826727400778
SEA,2020,0.22952021016195132,0.07778184899932794,0.08925785950742551
SEA,2021,0.2083357415392812,0.09305663122087893,0.06805634223616519
SEA,2022,0.20041529632345778,0.0489564082622187,0.08108405118429972
SEA,2023,0.20901602788155857,0.06915971510786864,0.06915971510786864
SEA,2024,0.2269901112468061,0.05752489120638237,0.09950251451914788
SEA,2025,0.25588193002892673,0.10136385633996131,0.0852939766763089
SF,2018,0.29291891615928156,0.15810964224506677,0.07322972903982039
SF,2019,0.2630550426641897,0.11906701931115957,0.05953350965557978
SF,2020,0.2072713222870574,0.09285755238460172,0.06632682313185836
SF,2021,0.23028828380042948,0.0648512983116152,0.08602723245418342
SF,2022,0.21128981934762375,0.05086606762072424,0.09651510266496394
SF,2023,0.2010830048483402,0.05177586352382413,0.08549037930677937
SF,2024,0.19803371923054802,0.05658106263729943,0.07779896112628672
SF,2025,0.15382617446186664,0.06385237430492577,0.05659642267936602
TB,2018,0.19903756168777204,0.06294350241408175,0.0714493811186874
TB,2019,0.2417839671707828,0.08792144260755738,0.09066898768904355
TB,2020,0.2615777464865887,0.09637074870558532,0.10095983197727985
