team,season,pressured_pct_allowed,hurry_rate_allowed,hit_rate_allowed
JAX,2023,0.18286738383795437,0.05714605744936074,0.06714661750299887
JAX,2024,0.16498246541695938,0.04078218246261917,0.06488074482689413
JAX,2025,0.21226331537042542,0.08844304807101058,0.06191013364970741
KC,2018,0.32948829117132566,0.17870551385563424,0.10331412519778856
KC,2019,0.22002256355898503,0.10470953325999889,0.0742244792729106
KC,2020,0.21805929589622108,0.09085803995675878,0.09206948048951558
KC,2021,0.2105847780090443,0.09409107102531766,0.07504883046067004
KC,2022,0.1901703995741657,0.07221660743322748,0.0830490985482116
KC,2023,0.23130519608971523,0.08942211189035382,0.10253735496760571
KC,2024,0.2348821136656948,0.057713890786427864,0.10871686403955017
KC,2025,0.21061377855308244,0.04357526452822395,0.09877059959730763
LA,2018,0.22177377236857962,0.10606571721975547,0.06336393496245131
LA,2019,0.18556967232508598,0.07909527017134811,0.07301101861970595
LA,2020,0.2099650037690184,0.06856000123069989,0.09569833505118526
LA,2021,0.17053287709648512,0.048902810343845,0.07398117462273987
LA,2022,0.2667236544399323,0.07738278863380751,0.09220076943602598
LA,2023,0.17483347067200647,0.042967547877018536,0.07852689784420629
LA,2024,0.21459623355050456,0.0438590842293002,0.11121410643858265
LA,2025,0.18587820615712514,0.06771277510009559,0.07966208835305363
LAC,2018,0.23535607979392853,0.08786626978973332,0.09257339138561188
LAC,2019,0.20279747428434755,0.06337421071385861,0.08555518446370913
LAC,2020,0.28705990399352593,0.13114411857572253,0.1063724517336416
LAC,2021,0.19346018974377777,0.06899629144708158,0.08252497604454856
LAC,2022,0.21642162877263824,0.06678153116412837,0.09769890670307668
LAC,2023,0.19055930364502727,0.0564620158948229,0.07340062066326977
LAC,2024,0.2237328144598022,0.03891005468866125,0.10700265039381844
LAC,2025,0.28510653053818813,0.08263957406904004,0.11156342499320406
LV,2020,0.20117233771542403,0.09728826168204932,0.05771337557409706
LV,2021,0.21044438684099115,0.08768516118374631,0.06475211902799728
LV,2022,0.20186176531660882,0.060558529594982646,0.08850862017728232
LV,2023,0.1556569695050565,0.022483784484063716,0.06572183156880163
LV,2024,0.2233540649212036,0.07682241723404455,0.07682241723404455
LV,2025,0.2272990458384202,0.0384402798109093,0.08189450916237198
MIA,2018,0.3014403688151359,0.1186313709530535,0.0836253926390377
MIA,2019,0.28505309385200944,0.09076317416183384,0.11487214229857096
MIA,2020,0.18791837991167498,0.05782103997282307,0.075488579964519
MIA,2021,0.23065384833245695,0.1043084282267799,0.07051837401247091
MIA,2022,0.249492255979043,0.09483623765285261,0.09921329477529195
MIA,2023,0.15012421900109257,0.060359222072604225,0.04178715374257216
MIA,2024,0.1747984453546184,0.054719513328402275,0.054719513328402275
MIA,2025,0.2244042426388192,0.0997352189505863,0.05178559445511212
