CPT,FLEX,FLEX,FLEX,FLEX,FLEX,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,TE,Caleb Lohner (44105060),Caleb Lohner,44105060,CPT,300,DEN@KC 09/14/2026 08:15PM ET,DEN,0
,,,,,,,TE,Mitchell Fraboni (44105061),Mitchell Fraboni,44105061,CPT,300,DEN@KC 09/14/2026 08:15PM ET,DEN,0
,,,,,,,TE,Lucas Krull (44105062),Lucas Krull,44105062,CPT,300,DEN@KC 09/14/2026 08:15PM ET,DEN,1.17
,,,,,,,TE,James Winchester (44105063),James Winchester,44105063,CPT,300,DEN@KC 09/14/2026 08:15PM ET,KC,0
,,,,,,,TE,Jared Wiley (44105064),Jared Wiley,44105064,CPT,300,DEN@KC 09/14/2026 08:15PM ET,KC,0.28
,,,,,,,TE,Thomas Odukoya (44105065),Thomas Odukoya,44105065,CPT,300,DEN@KC 09/14/2026 08:15PM ET,KC,0
,,,,,,,TE,Dallen Bentley (44105066),Dallen Bentley,44105066,CPT,300,DEN@KC 09/14/2026 08:15PM ET,DEN,0
,,,,,,,RB,Cody Schrader (44104991),Cody Schrader,44104991,FLEX,200,DEN@KC 09/14/2026 08:15PM ET,DEN,0
,,,,,,,RB,Nate Carter (44104992),Nate Carter,44104992,FLEX,200,DEN@KC 09/14/2026 08:15PM ET,KC,0.71
,,,,,,,RB,Adam Prentice (44104993),Adam Prentice,44104993,FLEX,200,DEN@KC 09/14/2026 08:15PM ET,DEN,0.84
,,,,,,,RB,Jaydn Ott (44104994),Jaydn Ott,44104994,FLEX,200,DEN@KC 09/14/2026 08:15PM ET,KC,0
,,,,,,,RB,Ben VanSumeren (44104995),Ben VanSumeren,44104995,FLEX,200,DEN@KC 09/14/2026 08:15PM ET,KC,0
,,,,,,,WR,Jimmy Holiday (44104996),Jimmy Holiday,44104996,FLEX,200,DEN@KC 09/14/2026 08:15PM ET,KC,0
,,,,,,,WR,Jeff Caldwell (44104997),Jeff Caldwell,44104997,FLEX,200,DEN@KC 09/14/2026 08:15PM ET,KC,0
,,,,,,,WR,Michael Bandy (44104998),Michael Bandy,44104998,FLEX,200,DEN@KC 09/14/2026 08:15PM ET,DEN,3.5
,,,,,,,WR,Kolbe Katsis (44104999),Kolbe Katsis,44104999,FLEX,200,DEN@KC 09/14/2026 08:15PM ET,DEN,0
,,,,,,,WR,Andrew Armstrong (44105000),Andrew Armstrong,44105000,FLEX,200,DEN@KC 09/14/2026 08:15PM ET,KC,0
,,,,,,,WR,Dane Key (44105001),Dane Key,44105001,FLEX,200,DEN@KC 09/14/2026 08:15PM ET,DEN,0
,,,,,,,WR,Omari Evans (44105002),Omari Evans,44105002,FLEX,200,DEN@KC 09/14/2026 08:15PM ET,KC,0
,,,,,,,TE,John Michael Gyllenborg (44105003),John Michael Gyllenborg,44105003,FLEX,200,DEN@KC 09/14/2026 08:15PM ET,KC,0
,,,,,,,TE,Jake Briningstool (44105004),Jake Briningstool,44105004,FLEX,200,DEN@KC 09/14/2026 08:15PM ET,KC,0
,,,,,,,TE,Caleb Lohner (44105005),Caleb Lohner,44105005,FLEX,200,DEN@KC 09/14/2026 08:15PM ET,DEN,0
,,,,,,,TE,Mitchell Fraboni (44105006),Mitchell Fraboni,44105006,FLEX,200,DEN@KC 09/14/2026 08:15PM ET,DEN,0
,,,,,,,TE,Lucas Krull (44105007),Lucas Krull,44105007,FLEX,200,DEN@KC 09/14/2026 08:15PM ET,DEN,1.17
,,,,,,,TE,James Winchester (44105008),James Winchester,44105008,FLEX,200,DEN@KC 09/14/2026 08:15PM ET,KC,0
,,,,,,,TE,Jared Wiley (44105009),Jared Wiley,44105009,FLEX,200,DEN@KC 09/14/2026 08:15PM ET,KC,0.28
,,,,,,,TE,Thomas Odukoya (44105010),Thomas Odukoya,44105010,FLEX,200,DEN@KC 09/14/2026 08:15PM ET,KC,0
,,,,,,,TE,Dallen Bentley (44105011),Dallen Bentley,44105011,FLEX,200,DEN@KC 09/14/2026 08:15PM ET,DEN,0
