player_name,team,pos,target_share,carry_share,catch_rate,ypc,yac_per_rec,cpoe,sack_rate,scramble_rate,adot,avg_air_yards_per_att,deep_target_rate,elusiveness,broken_tackle_rate,avg_time_to_throw_sec,avg_separation_yds
Tyler Warren,IND,TE,0.23,0.015,0.6807,1.3,6.0854,,,,5.3422,,0.0208,0.918,0.2168,,3.2887
Will Mallory,IND,TE,0,0,0.625,4,0.8,,,,10.8125,,0,-3.4692,0,,3.534
Carter Bradley,JAX,QB,0,0,,,,0,0.06,0.05,,8,,,,2.7,
Joey Aguilar,JAX,QB,0,0,,,,0,0.06,0.05,,8,,,,2.7,
Nick Mullens,JAX,QB,0,0.005,,,,-0.4718,0,0,,6.25,,,,3.056,
Quinn Ewers,JAX,QB,0,0,,,,0.9923,0.0808,0,,8.349,,,,2.813,
Trevor Lawrence,JAX,QB,0,0.02,,,,0.2843,0.056,0.035,,9.1395,,,,2.8023,
Ameer Abdullah,JAX,RB,0.025,0.085,0.8757,3.8448,5.9685,,,,0.2497,,0,-1.1407,0.1178,,3.2
Bhayshul Tuten,JAX,RB,0.085,0.48,0.7167,3.6362,6.5625,,,,0.75,,0,-0.5416,0.125,,3.2
Chris Rodriguez,JAX,RB,0.015,0.36,0.8,3.9299,9.25,,,,3.4,,0,3.5373,0.5,,3.2
J'mari Taylor,JAX,RB,0,0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2
LeQuint Allen,JAX,RB,0,0,0.9444,4.4722,5.9444,,,,-1.0556,,0,-1.4832,0,,3.2
Austin Trammell,JAX,WR,0,0,0.3889,4,1.8333,,,,14.5972,,0.2083,-2.049,0.1667,,4.825
Brian Thomas,JAX,WR,0.155,0.01,0.6342,8.5,5.2191,,,,12.9589,,0.2216,0.4759,0.1963,,2.8025
CJ Williams,JAX,WR,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
Jakobi Meyers,JAX,WR,0.2,0,0.7035,6,3.7117,,,,9.6724,,0.1083,-0.7343,0.1302,,2.7348
Josh Cameron,JAX,WR,0.04,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
Michael Wortham,JAX,WR,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
Parker Washington,JAX,WR,0.21,0.01,0.6236,-1.1667,3.647,,,,11.0033,,0.1845,-0.3971,0.126,,2.6932
Tim Jones,JAX,WR,0,0,0.75,4,7,,,,7.375,,0,2.8829,0.5,,2.925
Travis Hunter,JAX,WR,0.13,0.035,0.6418,0,6.5119,,,,8.5495,,0.1349,0.0785,0.2619,,3.383
Trebor Pena,JAX,WR,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
Brenton Strange,JAX,TE,0.13,0,0.7383,4,6.5937,,,,6.5151,,0.0571,1.6757,0.376,,3.4945
Hayden Rucci,JAX,TE,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3
Nate Boerkircher,JAX,TE,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3
Quintin Morris,JAX,TE,0.01,0,0.6583,4,3.3958,,,,8.7417,,0.2,0.2992,0.1875,,5.058
Tanner Koziol,JAX,TE,0,0,0.68,4.2,4.5,,,,7.5,,0.06,0,0.15,,3
Chris Oladokun,KC,QB,0,0,,,,0,0.2101,0,,8,,,,2.9558,
Garrett Nussmeier,KC,QB,0,0,,,,0,0.06,0.05,,8,,,,2.7,
Justin Fields,KC,QB,0,0,,,,-4.9802,0.0932,0,,8.8554,,,,3.0124,
Patrick Mahomes,KC,QB,0,0.01,,,,2.4286,0.05944,0.045,,7.1708,,,,2.799,
Ben VanSumeren,KC,RB,0,0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2
Brashard Smith,KC,RB,0.025,0.05,0.5972,3.6093,8.6778,,,,-1.3639,,0,0.232,0.1926,,3.2
EJ Smith,KC,RB,0,0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2
Emmett Johnson,KC,RB,0.07,0.17,0.75,5.568,6.5,,,,-0.5147,,0.02,0.8543,0.1957,,3.2
Jaydn Ott,KC,RB,,,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2
Kenneth Walker,KC,RB,0.09,0.68,0.8818,4.2977,8.9735,,,,-0.7679,,0,0.9716,0.3053,,3.2
Nate Carter,KC,RB,0,0,0.75,4.2,6.5,,,,1,,0.04,0,0.15,,3.2
Andrew Armstrong,KC,WR,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
Cyrus Allen,KC,WR,0.06,0,0.6259,4.2,3.659,,,,10.871,,0.1246,-1.127,0.1154,,2.8
Jalen Royals,KC,WR,0.055,0,0.6667,4.2,2,,,,7.3333,,0.3333,-5.6231,0,,2.8
Jeff Caldwell,KC,WR,0,0,0.62,4.2,4.2,,,,11.5,,0.15,0,0.15,,2.8
