team,season,stuff_rate_forced,aly_allowed,ybc_allowed_per_att,rush_pct_over_expected_allowed,pct_stacked_box_forced
CIN,2022,0.1915367483296214,2.9298440979955456,2.8294293604223717,0.337447655225433,18.88888888888889
CIN,2023,0.1467661691542288,3.0432835820895523,3.161271767031549,0.4157059314954051,17.894736842105264
CIN,2024,0.1721698113207547,2.872877358490566,2.940048294733589,0.4194880051758236,18.50393700787401
CLE,2018,0.2309523809523809,2.761904761904762,2.2126553903396933,0.3934142585758162,28.52112676056338
CLE,2019,0.1822541966426858,3.083453237410072,2.860414281945193,0.4509698832178847,18.385650224215247
CLE,2020,0.1394230769230769,3.1254807692307693,2.718344169685707,0.3867097701149425,21.120689655172413
CLE,2021,0.1559405940594059,2.949504950495049,2.5351039045694086,0.3756302521008403,25.210084033613445
CLE,2022,0.1644736842105263,3.142324561403509,2.9614075441800254,0.4571725806816382,34.2560553633218
CLE,2023,0.2784810126582278,2.2767088607594936,3.112286021697485,0.432527664531159,28.712871287128717
CLE,2024,0.2546296296296296,2.546527777777777,2.640512527159624,0.3957307060755336,43.67816091954023
DAL,2018,0.2361111111111111,2.5375,2.2975628310614797,0.3363514419852448,23.943661971830984
DAL,2019,0.2087912087912088,2.61510989010989,2.508376828506889,0.4197113350752768,22.97872340425532
DAL,2020,0.1382289416846652,3.3000000000000003,3.136569358380132,0.4028053350970018,20.13888888888889
DAL,2021,0.1572769953051643,3.062676056338028,2.932335206761356,0.4054497596704051,29.182879377431902
DAL,2022,0.1749502982107356,2.9582504970178927,2.8568789248209736,0.4024309514015396,29.705882352941178
DAL,2023,0.2117117117117117,2.8166666666666664,2.7449632191649984,0.4009439808311988,30.451127819548876
DAL,2024,0.1206496519721577,3.2951276102088167,3.484288328742017,0.4634575855756337,23.481781376518217
DEN,2018,0.1612090680100755,2.8879093198992445,2.703106085363425,0.3850471051709441,47.11111111111112
DEN,2019,0.1829573934837092,2.808771929824561,2.52142107232771,0.3855412040038832,13.865546218487395
DEN,2020,0.1403061224489795,3.089795918367347,3.157191768933964,0.3232773471145564,10.852713178294572
DEN,2021,0.1323155216284987,3.1585241730279896,2.725706340504294,0.4851020042949177,16.141732283464567
DEN,2022,0.1553884711779448,2.9817042606516293,2.6391333263877885,0.349339447737617,16.917293233082706
DEN,2023,0.1720930232558139,3.157906976744186,3.2127473675270526,0.4497242647058823,10.661764705882351
DEN,2024,0.2331730769230769,2.582692307692308,2.348621999157816,0.3687049062049062,23.91304347826087
DET,2018,0.1554959785522788,2.899195710455764,2.6888406254126296,0.4046953046953047,16.883116883116884
DET,2019,0.1259079903147699,3.052784503631961,2.1086026102592013,0.3415617041267957,11.80327868852459
DET,2020,0.1297539149888143,3.202908277404922,2.482056490784648,0.4233473980309423,23.417721518987346
DET,2021,0.1530172413793103,3.187284482758621,2.4514508102408343,0.4265963718820862,26.03174603174603
DET,2022,0.1848341232227488,3.0739336492891,3.6083588115763288,0.394359949302915,24.714828897338403
DET,2023,0.2060889929742388,2.6009367681498827,2.2922309143214634,0.3726754385964912,30.0
DET,2024,0.1782729805013927,2.7860724233983287,2.7322522277091217,0.4176748176748177,29.72972972972973
GB,2018,0.1588089330024814,3.075682382133995,2.2984412801541803,0.3897338403041825,15.209125475285171
GB,2019,0.1484018264840182,3.256164383561644,2.6973805988423525,0.4510864733352772,11.188811188811188
GB,2020,0.1428571428571428,3.065763546798029,2.7444940466933394,0.3633535248780258,16.541353383458645
GB,2021,0.1394101876675603,3.185254691689008,3.188606177910009,0.4063774209989806,14.220183486238533
GB,2022,0.1489841986455982,3.2401805869074494,3.1973961583097266,0.4295436099144658,19.21708185053381
GB,2023,0.1808731808731808,2.845322245322245,2.900977649727693,0.4188656354261449,23.56687898089172
GB,2024,0.2106537530266344,2.58910411622276,2.36431442884802,0.4086355311355311,24.0
HOU,2018,0.2405405405405405,2.45972972972973,2.2543491905773405,0.3695483290628577,13.654618473895582
HOU,2019,0.1551724137931034,2.9108374384236453,2.890318920053957,0.2873337189126663,21.05263157894737
HOU,2020,0.1531728665207877,3.2630196936542677,3.07614303246518,0.433560381260678,33.82789317507418
HOU,2021,0.2012320328542094,3.0874743326488705,2.6724418757886674,0.412250191771973,31.20567375886525
HOU,2022,0.1984732824427481,3.088167938931298,3.2969952716103847,0.4082491022796212,25.19893899204244
