team,player_name,jersey,pos,nfl_status,height,weight,experience,college
BUF,Brock Lampe,,RB,DEV,73,249,2,Northern Illinois
BUF,C.J. Gardner-Johnson,22,SAF,ACT,71,208,8,Florida
BUF,Chase Lundt,77,OT,DEV,79,304,2,Connecticut
BUF,Christian Benford,47,CB,ACT,73,205,5,Villanova
BUF,Cole Bishop,24,SAF,ACT,74,207,3,Utah
BUF,Connor McGovern,66,G,ACT,78,318,8,Penn State
BUF,DJ Moore,2,WR,ACT,72,213,9,Maryland
BUF,Dalton Kincaid,86,TE,ACT,75,246,4,Utah
BUF,Damar Hamlin,3,SAF,ACT,72,200,6,Pittsburgh
BUF,Davison Igbinosun,21,CB,ACT,74,189,R,Ohio State
BUF,Dawson Knox,88,TE,ACT,76,254,8,Mississippi
BUF,DeWayne Carter,90,DT,ACT,74,302,3,Duke
BUF,Dee Alford,23,CB,ACT,71,180,5,Tusculum College
BUF,Deone Walker,96,DT,ACT,79,331,2,Kentucky
BUF,Dion Dawkins,73,OT,ACT,77,320,10,Temple
BUF,Dorian Strong,43,CB,RSN,72,185,2,Virginia Tech
BUF,Dorian Williams,42,LB,ACT,73,228,4,Tulane
BUF,Ed Oliver,91,DT,ACT,73,287,8,Houston
BUF,Frank Gore Jr.,20,RB,DEV,68,201,1,Southern Mississippi
BUF,Geno Stone,25,SAF,DEV,71,210,7,Iowa
BUF,Greg Dortch,,WR,DEV,67,180,6,Wake Forest
BUF,Greg Gaines,97,DT,ACT,73,312,8,Washington
BUF,Greg Rousseau,15,LB,ACT,78,266,6,Miami
BUF,Ja'Mori Maclin,84,WR,DEV,71,183,R,Kentucky
BUF,Jackson Hawes,85,TE,ACT,76,253,2,Georgia Tech
BUF,Jalon Kilgore,29,SAF,ACT,73,211,R,South Carolina
BUF,James Cook,4,RB,ACT,71,190,5,Georgia
BUF,Javon Solomon,56,LB,ACT,73,246,3,Troy
BUF,Jedrick Wills,,OT,DEV,76,307,6,Alabama
BUF,Joe Andreessen,44,LB,ACT,73,240,3,Buffalo
BUF,Jordan Hancock,37,CB,ACT,73,195,2,Ohio State
BUF,Josh Allen,17,QB,ACT,77,237,9,Wyoming
BUF,Josh Palmer,5,WR,ACT,73,210,6,Tennessee
BUF,Jude Bowry,74,OT,ACT,77,314,R,Boston College
BUF,Kaleb Elarms-Orr,52,LB,ACT,74,234,R,TCU
BUF,Kani Walker,41,DB,DEV,74,204,R,Arkansas
BUF,Keleki Latu,83,TE,ACT,78,249,1,Washington
BUF,Keon Coleman,,WR,ACT,75,213,3,Florida State
BUF,Keonta Jenkins,49,LB,DEV,74,211,1,Virginia Tech
BUF,Khalil Shakir,10,WR,ACT,72,190,5,Boise State
BUF,Kyle Allen,11,QB,ACT,75,210,8,Houston
BUF,Landon Jackson,94,DE,ACT,78,264,2,Arkansas
BUF,Lloyd Cushenberry III,53,C,ACT,76,315,7,LSU
BUF,Maxwell Hairston,1,CB,ACT,71,192,2,Kentucky
BUF,Michael Danna,51,LB,ACT,74,257,6,Michigan
BUF,Michael Hoecht,55,LB,ACT,76,267,6,Brown
BUF,Nick Broeker,65,G,CUT,76,305,3,Mississippi
BUF,O'Cyrus Torrence,64,G,ACT,77,330,4,Florida
BUF,Phidarian Mathis,72,DT,SUS,76,312,5,Alabama
BUF,Ray Davis,7,RB,ACT,68,211,3,Kentucky
BUF,Reid Ferguson,69,LS,ACT,74,235,10,LSU
BUF,Sam Franklin Jr.,28,SAF,ACT,75,210,7,Temple
BUF,Shane Buechele,6,QB,DEV,72,210,4,SMU
BUF,Shaq Thompson,54,OLB,DEV,72,230,12,Washington
BUF,Skyler Bell,13,WR,ACT,71,192,R,Connecticut
BUF,Spencer Brown,79,OT,ACT,80,311,6,Northern Iowa
BUF,Stephen Gosnell,89,WR,DEV,73,198,1,Virginia Tech
BUF,T.J. Sanders,98,DT,ACT,76,297,2,South Carolina
BUF,TJ Parker,99,LB,ACT,75,263,R,Clemson
BUF,Te'Cory Couch,33,DB,DEV,70,185,1,Miami
BUF,Terrel Bernard,8,LB,ACT,73,224,5,Baylor
BUF,Tommy Doman Jr.,39,P,ACT,76,214,R,Florida
BUF,Travis Clayton,67,OT,DEV,79,303,2,
BUF,Trent Sherfield,18,WR,DEV,72,203,9,Vanderbilt
BUF,Ty Johnson,26,RB,ACT,70,210,8,Maryland
BUF,Tylan Grable,68,OT,ACT,77,313,3,UCF
BUF,Tyler Bass,16,K,ACT,70,183,7,Georgia Southern
BUF,Tyrell Shavers,14,WR,PUP,76,211,2,San Diego State
BUF,Zane Durant,92,DT,RES,73,290,R,Penn State
CAR,AJ Dillon,28,RB,ACT,72,247,7,Boston College
CAR,Aaron Hall,94,DT,ACT,76,297,R,Duke
CAR,Ahmani Marshall,,RB,DEV,73,225,1,Appalachian State
CAR,Akayleb Evans,29,CB,ACT,74,198,5,Missouri
CAR,Albert Reese,76,OT,ACT,79,330,R,Mississippi State
CAR,Anthony Goodlow,,DE,DEV,77,283,1,Oklahoma State
CAR,Anthony Tyus III,34,RB,DEV,73,222,1,Ohio
CAR,Bam Martin-Scott,54,LB,RSR,74,235,2,South Carolina
CAR,Bobby Brown III,97,DT,ACT,76,332,6,Texas A&M
CAR,Bobby Okereke,58,ILB,ACT,73,235,8,Stanford
CAR,Brady Christensen,70,OT,RES,78,300,6,BYU
CAR,Bryce Young,9,QB,ACT,70,204,4,Alabama
CAR,Brycen Tremayne,87,WR,ACT,76,212,2,Stanford
CAR,Cam Jackson,99,DT,ACT,78,328,2,Florida
CAR,Casey Washington,80,WR,DEV,72,200,3,Illinois
CAR,Chandler Zavala,62,G,DEV,77,330,4,N.C. State
CAR,Chau Smith-Wade,26,CB,ACT,71,176,3,Washington State
CAR,Chris Brazzell II,19,WR,RES,76,198,R,Tennessee
CAR,Chuba Hubbard,30,RB,ACT,73,210,6,Oklahoma State
CAR,Claudin Cherelus,53,LB,ACT,74,230,4,Alcorn State
CAR,Corey Bullock,67,OT,ACT,75,314,2,Maryland
CAR,Corey Thornton,31,CB,DEV,73,204,2,Louisville
CAR,Damien Lewis,68,G,ACT,74,327,7,LSU
CAR,Darren Waller,88,TE,ACT,78,245,9,Georgia Tech
CAR,David Moore,83,WR,DEV,72,220,8,East Central
CAR,Derrick Brown,95,DT,ACT,77,320,7,Auburn
CAR,Devin Lloyd,55,LB,ACT,75,235,5,Utah
CAR,Devonta Smith,43,CB,DEV,71,195,R,Notre Dame
CAR,E.J. Williams Jr.,,WR,DEV,75,203,R,Indiana
CAR,Feleipe Franks,81,TE,ACT,78,228,4,Arkansas
CAR,Haynes King,16,QB,ACT,74,212,R,Georgia Tech
CAR,Ikem Ekwonu,79,OT,PUP,76,335,5,N.C. State
CAR,Isaiah Simmons,27,SAF,DEV,76,232,6,Clemson
CAR,J.J. Jansen,44,LS,ACT,74,235,19,Notre Dame
CAR,Ja'Seem Reed,86,WR,DEV,74,195,1,San Diego
CAR,Ja'Tavion Sanders,,TE,ACT,76,252,3,Texas
CAR,Jackson Kuwatch,46,LB,ACT,76,234,R,Miami (Ohio)
CAR,Jaelan Phillips,5,LB,ACT,77,266,6,Miami
CAR,Jake Curhan,74,OT,DEV,78,316,6,California
CAR,Jalen Coker,18,WR,ACT,75,213,3,Holy Cross
CAR,Jaycee Horn,8,CB,ACT,73,200,6,South Carolina
CAR,Jeremiah Moon,,LB,DEV,77,245,3,Florida
CAR,Jimmy Horn Jr.,15,WR,TRC,68,174,2,Colorado
CAR,John Metchie III,13,WR,ACT,71,187,4,Alabama
CAR,Jonathon Brooks,25,RB,ACT,72,207,3,Texas
CAR,Kenny Pickett,12,QB,ACT,75,220,5,Pittsburgh
CAR,Lathan Ransom,22,SAF,ACT,72,206,2,Ohio State
CAR,Lee Hunter,92,DT,ACT,75,318,R,Texas Tech
CAR,Luke Fortner,77,C,ACT,78,300,5,Kentucky
CAR,Mapalo Mwansa,42,LB,DEV,75,234,1,
CAR,Mike Jackson,2,CB,ACT,73,210,6,Miami
CAR,Mitchell Evans,84,TE,ACT,77,258,2,Notre Dame
CAR,Monroe Freeling,57,OT,ACT,79,315,R,Georgia
CAR,Nic Scourton,11,LB,RES,74,257,2,Texas A&M
CAR,Nick Scott,21,SAF,ACT,71,200,8,Penn State
CAR,Parker Petersen,69,DT,DEV,76,314,R,Wisconsin
CAR,Patrick Jones II,91,LB,ACT,76,264,6,Pittsburgh
CAR,Princely Umanmielen,3,LB,ACT,76,244,2,Mississippi
CAR,Rasheed Walker,63,OT,ACT,78,325,5,Penn State
CAR,Robert Hunt,50,G,ACT,78,323,7,Louisiana-Lafayette
CAR,Ryan Fitzgerald,10,K,ACT,71,193,2,Florida State
CAR,Sam Hecht,75,C,ACT,76,305,R,Kansas State
CAR,Sam Martin,6,P,ACT,73,207,14,Appalachian State
CAR,Stone Forsythe,73,OT,ACT,80,307,6,Florida
CAR,Taylor Moton,72,OT,RSN,77,325,10,Western Michigan
CAR,TeRah Edwards,93,DT,ACT,74,305,1,Illinois
CAR,Tershawn Wharton,98,DE,PUP,73,280,7,Missouri-Rolla
CAR,Tetairoa McMillan,4,WR,ACT,77,212,2,Arizona
CAR,Thomas Incoom,48,LB,ACT,74,265,4,Central Michigan
CAR,Tommy Tremble,82,TE,ACT,76,250,6,Notre Dame
CAR,Torricelli Simpkins III,,G,DEV,77,312,2,South Carolina
CAR,Tre'von Moehrig,7,SAF,ACT,74,202,6,TCU
CAR,Trevis Gipson,52,LB,ACT,76,255,7,Tulsa
CAR,Trevor Etienne,23,RB,RSR,69,204,2,Georgia
CAR,Tyrel Dodson,,LB,ACT,72,237,7,Texas A&M
CAR,Will Lee III,24,CB,ACT,73,189,R,Texas A&M
CAR,Xavier Legette,17,WR,ACT,75,227,3,South Carolina
CAR,Zakee Wheatley,20,SAF,ACT,75,203,R,Penn State
CAR,Zion Childress,,DB,DEV,71,195,1,Kentucky
CHI,Anthony Johnson,27,CB,DEV,74,205,3,Virginia
CHI,Austin Booker,94,DE,ACT,78,245,3,Kansas
CHI,Beau Gardner,45,LS,ACT,77,249,R,Georgia
CHI,Braxton Jones,70,OT,ACT,77,303,5,Southern Utah State
CHI,Brittain Brown,38,RB,RES,73,205,3,UCLA
CHI,Buddy Johnson,47,LB,DEV,74,240,5,Texas A&M
CHI,Caden Barnett,76,G,DEV,76,316,R,Wyoming
CHI,Cairo Santos,8,K,ACT,68,173,13,Tulane
CHI,Caleb Williams,18,QB,ACT,73,226,3,USC
CHI,Cam Lewis,21,CB,ACT,69,183,7,Buffalo
CHI,Case Keenum,11,QB,ACT,73,220,14,Houston
CHI,Christian Jones,,OT,DEV,77,320,3,Texas
CHI,Clark Phillips III,20,CB,ACT,70,183,4,Utah
CHI,Coby Bryant,2,CB,RES,73,205,5,Cincinnati
CHI,Cole Kmet,85,TE,ACT,78,257,7,Notre Dame
CHI,Colston Loveland,84,TE,ACT,78,241,2,Michigan
CHI,D'Andre Swift,4,RB,ACT,68,204,7,Georgia
CHI,D'Marco Jackson,48,LB,ACT,73,233,5,Appalachian State
