game_id,team,plays,rushing_yards,passing_yards,total_yards,points
2015_12_BAL_CLE,CLE,68,63,275,338,27
2015_12_BUF_KC,BUF,67,129,286,415,22
2015_12_BUF_KC,KC,57,159,255,414,30
2015_12_CAR_DAL,CAR,64,130,165,295,33
2015_12_CAR_DAL,DAL,55,31,179,210,14
2015_12_CHI_GB,CHI,62,102,189,291,17
2015_12_CHI_GB,GB,73,177,188,365,13
2015_12_MIA_NYJ,MIA,70,12,321,333,20
2015_12_MIA_NYJ,NYJ,71,138,274,412,38
2015_12_MIN_ATL,ATL,56,117,210,327,10
2015_12_MIN_ATL,MIN,64,195,174,369,20
2015_12_NE_DEN,DEN,77,179,254,433,30
2015_12_NE_DEN,NE,61,39,262,301,24
2015_12_NO_HOU,HOU,63,170,195,365,24
2015_12_NO_HOU,NO,56,50,218,268,6
2015_12_NYG_WAS,NYG,67,33,299,332,14
2015_12_NYG_WAS,WAS,64,105,302,407,20
2015_12_OAK_TEN,TEN,56,44,205,249,21
2015_12_PHI_DET,DET,70,108,322,430,45
2015_12_PHI_DET,PHI,57,69,159,228,14
2015_12_PIT_SEA,PIT,74,59,480,539,30
2015_12_PIT_SEA,SEA,58,101,336,437,39
2015_12_SD_JAX,JAX,70,102,318,420,25
2015_12_STL_CIN,CIN,58,141,236,377,31
2015_12_TB_IND,IND,68,30,309,339,25
2015_12_TB_IND,TB,62,132,212,344,12
2015_13_ARI_STL,ARI,75,178,349,527,27
2015_13_ATL_TB,ATL,66,64,255,319,19
2015_13_ATL_TB,TB,62,176,222,398,23
2015_13_BAL_MIA,BAL,75,94,281,375,13
2015_13_BAL_MIA,MIA,46,137,82,219,15
2015_13_CAR_NO,CAR,74,177,322,499,41
2015_13_CAR_NO,NO,57,70,264,334,38
2015_13_CIN_CLE,CIN,56,144,233,377,37
2015_13_CIN_CLE,CLE,60,68,205,273,3
2015_13_DAL_WAS,DAL,54,97,221,318,19
2015_13_DAL_WAS,WAS,60,73,193,266,16
2015_13_DEN_SD,DEN,65,135,159,294,17
2015_13_GB_DET,DET,63,101,205,306,23
2015_13_GB_DET,GB,62,68,243,311,27
2015_13_HOU_BUF,BUF,58,187,203,390,30
2015_13_HOU_BUF,HOU,70,127,275,402,21
2015_13_IND_PIT,IND,56,55,186,241,10
2015_13_IND_PIT,PIT,70,159,364,523,45
2015_13_JAX_TEN,JAX,58,82,302,384,39
2015_13_JAX_TEN,TEN,67,211,257,468,42
2015_13_KC_OAK,KC,46,91,143,234,34
2015_13_NYJ_NYG,NYG,61,74,281,355,20
2015_13_NYJ_NYG,NYJ,77,90,373,463,23
2015_13_PHI_NE,NE,84,104,324,428,28
2015_13_PHI_NE,PHI,57,129,120,249,35
2015_13_SEA_MIN,MIN,48,31,94,125,7
2015_13_SEA_MIN,SEA,64,175,260,435,38
2015_13_SF_CHI,CHI,74,170,194,364,20
2015_13_SF_CHI,SF,59,121,170,291,26
2015_14_ATL_CAR,ATL,61,55,176,231,0
2015_14_ATL_CAR,CAR,59,144,282,426,38
2015_14_BUF_PHI,BUF,68,153,260,413,20
2015_14_BUF_PHI,PHI,71,118,232,350,23
2015_14_DAL_GB,DAL,51,171,99,270,7
2015_14_DAL_GB,GB,79,233,205,438,28
2015_14_DET_STL,DET,69,112,220,332,14
2015_14_IND_JAX,IND,69,95,227,322,16
2015_14_IND_JAX,JAX,62,154,226,380,51
2015_14_MIN_ARI,ARI,64,99,296,395,23
2015_14_MIN_ARI,MIN,63,72,317,389,20
2015_14_NE_HOU,HOU,51,88,102,190,6
2015_14_NE_HOU,NE,61,119,197,316,27
2015_14_NO_TB,NO,76,89,301,390,24
2015_14_NO_TB,TB,51,115,176,291,17
2015_14_NYG_MIA,MIA,63,130,235,365,24
2015_14_NYG_MIA,NYG,60,94,337,431,31
2015_14_OAK_DEN,DEN,77,34,276,310,12
2015_14_PIT_CIN,CIN,55,65,321,386,20
2015_14_PIT_CIN,PIT,67,85,270,355,33
2015_14_SD_KC,KC,50,150,179,329,10
2015_14_SEA_BAL,BAL,54,30,274,304,6
2015_14_SEA_BAL,SEA,66,126,301,427,35
2015_14_SF_CLE,CLE,70,234,251,485,24
2015_14_SF_CLE,SF,54,71,150,221,10
2015_14_TEN_NYJ,NYJ,71,183,256,439,30
2015_14_TEN_NYJ,TEN,58,24,268,292,8
2015_14_WAS_CHI,CHI,56,87,290,377,21
2015_14_WAS_CHI,WAS,66,100,275,375,24
2015_15_ARI_PHI,ARI,72,232,263,495,40
2015_15_ARI_PHI,PHI,63,74,350,424,17
2015_15_ATL_JAX,ATL,67,85,245,330,23
2015_15_ATL_JAX,JAX,59,85,285,370,17
2015_15_BUF_WAS,BUF,63,240,212,452,25
2015_15_BUF_WAS,WAS,54,125,308,433,35
2015_15_CAR_NYG,CAR,76,171,309,480,38
2015_15_CAR_NYG,NYG,73,161,245,406,35
2015_15_CHI_MIN,CHI,62,94,199,293,17
2015_15_CHI_MIN,MIN,57,129,221,350,38
2015_15_CIN_SF,CIN,61,68,174,242,24
2015_15_CIN_SF,SF,71,55,263,318,14
2015_15_CLE_SEA,CLE,52,94,136,230,13
2015_15_CLE_SEA,SEA,67,183,241,424,30
2015_15_DEN_PIT,DEN,70,105,281,386,27
2015_15_DEN_PIT,PIT,71,26,354,380,34
2015_15_DET_NO,DET,49,155,246,401,35
2015_15_DET_NO,NO,71,69,330,399,27
2015_15_GB_OAK,GB,68,104,190,294,30
2015_15_HOU_IND,HOU,64,159,150,309,16
2015_15_HOU_IND,IND,54,50,140,190,10
2015_15_KC_BAL,BAL,67,93,273,366,14
2015_15_KC_BAL,KC,54,115,164,279,34
2015_15_MIA_SD,MIA,55,44,187,231,14
2015_15_NYJ_DAL,DAL,56,133,176,309,16
2015_15_NYJ_DAL,NYJ,66,74,299,373,19
2015_15_TB_STL,TB,77,146,363,509,23
2015_15_TEN_NE,NE,63,93,253,346,33
2015_15_TEN_NE,TEN,60,59,223,282,16
2015_16_CAR_ATL,ATL,60,79,296,375,20
2015_16_CAR_ATL,CAR,52,155,113,268,13
2015_16_CHI_TB,CHI,67,174,153,327,26
2015_16_CHI_TB,TB,53,105,285,390,21
2015_16_CIN_DEN,CIN,69,109,186,295,17
2015_16_CIN_DEN,DEN,63,113,277,390,20
2015_16_CLE_KC,CLE,67,232,136,368,13
2015_16_CLE_KC,KC,50,136,122,258,17
2015_16_DAL_BUF,BUF,58,239,172,411,16
2015_16_DAL_BUF,DAL,55,122,186,308,6
2015_16_GB_ARI,ARI,54,123,260,383,38
2015_16_GB_ARI,GB,63,102,77,179,8
2015_16_HOU_TEN,HOU,66,131,202,333,34
2015_16_HOU_TEN,TEN,63,30,227,257,6
2015_16_IND_MIA,IND,53,101,168,269,18
2015_16_IND_MIA,MIA,69,82,279,361,12
2015_16_JAX_NO,JAX,52,65,347,412,27
2015_16_JAX_NO,NO,68,138,402,540,38
2015_16_NE_NYJ,NE,54,64,221,285,20
2015_16_NE_NYJ,NYJ,69,143,285,428,26
2015_16_NYG_MIN,MIN,65,222,150,372,49
2015_16_NYG_MIN,NYG,58,91,272,363,17
2015_16_PIT_BAL,BAL,73,121,265,386,20
2015_16_PIT_BAL,PIT,57,110,198,308,17
2015_16_SF_DET,DET,64,90,284,374,32
2015_16_SF_DET,SF,59,121,201,322,17
2015_16_STL_SEA,SEA,67,59,253,312,17
2015_16_WAS_PHI,PHI,77,45,353,398,24
2015_16_WAS_PHI,WAS,70,71,351,422,38
2015_17_BAL_CIN,BAL,76,59,282,341,16
2015_17_BAL_CIN,CIN,56,147,147,294,24
2015_17_DET_CHI,CHI,52,111,231,342,20
2015_17_DET_CHI,DET,61,71,282,353,24
2015_17_JAX_HOU,HOU,74,160,242,402,30
2015_17_JAX_HOU,JAX,54,32,183,215,6
2015_17_MIN_GB,GB,74,77,274,351,13
2015_17_MIN_GB,MIN,49,151,91,242,20
2015_17_NE_MIA,MIA,71,98,342,440,20
2015_17_NE_MIA,NE,53,71,126,197,10
2015_17_NO_ATL,ATL,63,87,327,414,17
2015_17_NO_ATL,NO,63,69,323,392,20
2015_17_NYJ_BUF,BUF,72,114,182,296,22
2015_17_NYJ_BUF,NYJ,55,122,178,300,17
2015_17_OAK_KC,KC,64,190,150,340,23
2015_17_PHI_NYG,NYG,80,208,294,502,30
2015_17_PHI_NYG,PHI,63,122,315,437,35
2015_17_PIT_CLE,CLE,76,86,177,263,12
2015_17_PIT_CLE,PIT,53,32,349,381,28
2015_17_SD_DEN,DEN,63,212,293,505,27
2015_17_SEA_ARI,ARI,58,27,205,232,6
2015_17_SEA_ARI,SEA,67,147,209,356,36
2015_17_STL_SF,SF,74,110,350,460,19
2015_17_TB_CAR,CAR,60,113,255,368,38
2015_17_TB_CAR,TB,71,77,309,386,10
2015_17_TEN_IND,IND,68,131,200,331,30
2015_17_TEN_IND,TEN,57,138,94,232,24
2015_17_WAS_DAL,DAL,68,100,412,512,23
2015_17_WAS_DAL,WAS,60,149,291,440,34
2015_18_GB_WAS,GB,68,142,205,347,35
2015_18_GB_WAS,WAS,69,85,270,355,18
2015_18_KC_HOU,HOU,61,115,112,227,0
2015_18_KC_HOU,KC,60,143,173,316,30
2015_18_PIT_CIN,CIN,67,92,188,280,16
2015_18_PIT_CIN,PIT,69,167,202,369,18
2015_18_SEA_MIN,MIN,54,60,125,185,9
2015_18_SEA_MIN,SEA,55,98,129,227,10
2015_19_GB_ARI,ARI,63,40,328,368,26
2015_19_GB_ARI,GB,67,135,251,386,20
2015_19_KC_NE,KC,82,135,243,378,20
2015_19_KC_NE,NE,52,43,302,345,27
2015_19_PIT_DEN,DEN,70,110,215,325,23
2015_19_PIT_DEN,PIT,58,85,311,396,16
2015_19_SEA_CAR,CAR,61,151,151,302,31
2015_19_SEA_CAR,SEA,63,78,325,403,24
2015_20_ARI_CAR,ARI,60,60,227,287,15
2015_20_ARI_CAR,CAR,62,156,324,480,49
2015_20_NE_DEN,DEN,64,100,145,245,20
2015_20_NE_DEN,NE,76,45,292,337,18
2015_21_CAR_DEN,CAR,75,118,197,315,10
2015_21_CAR_DEN,DEN,56,90,104,194,24
2016_01_BUF_BAL,BAL,62,86,225,311,13
2016_01_BUF_BAL,BUF,48,65,95,160,7
2016_01_CAR_DEN,CAR,66,157,176,333,20
2016_01_CAR_DEN,DEN,55,150,159,309,21
2016_01_CHI_HOU,CHI,54,73,185,258,14
2016_01_CHI_HOU,HOU,70,131,215,346,23
2016_01_CIN_NYJ,CIN,55,57,324,381,23
2016_01_CIN_NYJ,NYJ,66,152,188,340,22
